,wd,ws,yaw_angles_opt,ai_opt,freq_val,yaw_000,yaw_001,yaw_002,yaw_003,yaw_004,yaw_005,yaw_006,yaw_007,yaw_008,ai_000,ai_001,ai_002,ai_003,ai_004,ai_005,ai_006,ai_007,ai_008
74,270,13.0,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31549349 0.31549349 0.31549349
 0.33       0.33       0.32001844]",0.0001303887213755219,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154934854308,0.3154934854308,0.3154934854308,0.33,0.33,0.32001843905040195
75,270,13.5,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31549349 0.31549349 0.31549349
 0.33       0.33       0.31001844]",7.334365577373645e-05,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154934854308,0.3154934854308,0.3154934854308,0.33,0.33,0.31001843905040194
76,270,14.0,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31549349 0.31549349 0.31549349
 0.33       0.33       0.32001844]",1.6298590171951e-05,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154934854308,0.3154934854308,0.3154934854308,0.33,0.33,0.32001843905040195
77,270,14.5,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31549349 0.31549349 0.31549349
 0.33       0.33       0.31001844]",8.1492950859755e-06,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154934854308,0.3154934854308,0.3154934854308,0.33,0.33,0.31001843905040194
78,270,15.0,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31543156 0.31543156 0.31543156
 0.33       0.33       0.3200204 ]",0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154315552272626,0.3154315552272626,0.3154315552272626,0.33,0.33,0.32002039839387425
79,270,15.5,[20. 20. 20. 20. 20. 20.  0.  0.  0.],"[0.33       0.33       0.33       0.31543156 0.31543156 0.31543156
 0.33       0.33       0.3100204 ]",1.6298590171951e-05,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.33,0.33,0.33,0.3154315552272626,0.3154315552272626,0.3154315552272626,0.33,0.33,0.31002039839387424
80,275,8.0,"[1.00713359e+01 7.87551358e+00 1.14581682e+01 1.00145292e+01
 6.15041814e+00 1.60600296e+01 2.28696658e-22 1.52464439e-22
 2.28696658e-22]","[0.297      0.297      0.297      0.3168884  0.3168884  0.3168884
 0.33       0.33       0.32101836]",0.0003748675739547755,10.071335935496434,7.875513576900989,11.458168244367272,10.014529228348616,6.150418143634509,16.06002955277012,2.286966580405101e-22,1.524644386937089e-22,2.2869665804052157e-22,0.29700000000000004,0.29700000000000004,0.29700000000000004,0.31688839970453636,0.31688839970453636,0.31688839970453636,0.33,0.33,0.32101835855448685
81,275,8.5,"[1.05670355e+01 8.64722902e+00 1.15076173e+01 9.86135627e+00
 6.34293373e+00 1.62031833e+01 6.34473283e-16 5.62927997e-16
 7.06460742e-16]","[0.29700012 0.29700012 0.29699888 0.3168872  0.31688845 0.31688845
 0.33       0.33       0.31101843]",0.0003748675739547755,10.567035535829802,8.647229024073548,11.507617324812871,9.861356269157076,6.3429337331812725,16.20318332921974,6.344732827216605e-16,5.629279968089921e-16,7.064607421579855e-16,0.2970001244918856,0.2970001244918856,0.2969988795730298,0.3168872042489485,0.31688844916780434,0.31688844916780434,0.33,0.33,0.3110184301623758
82,275,9.0,"[1.05685693e+01 8.64819384e+00 1.15105803e+01 9.86263151e+00
 6.34756223e+00 1.62363785e+01 4.50533282e-15 3.87030114e-15
 5.17825263e-15]","[0.29700012 0.29700012 0.29699888 0.3168872  0.31688845 0.31688845
 0.33       0.33       0.32101843]",0.0003748675739547755,10.568569284606056,8.648193843801703,11.510580297680127,9.862631509165324,6.347562231613624,16.236378490183714,4.505332822853595e-15,3.87030113587177e-15,5.178252630075334e-15,0.2970001244918856,0.2970001244918856,0.2969988795730298,0.3168872042489485,0.31688844916780434,0.31688844916780434,0.33,0.33,0.3210184301623758
83,275,9.5,"[1.05692521e+01 8.64844600e+00 1.15075364e+01 9.86309490e+00
 6.34633254e+00 1.62028317e+01 7.00085718e-15 6.00634499e-15
 8.05101980e-15]","[0.31445707 0.30299945 0.30299653 0.32382155 0.32382446 0.32382446
 0.33       0.33       0.32105968]",0.0004808084100724621,10.569252092503806,8.648445998857184,11.507536402261202,9.863094903865054,6.346332542102189,16.20283166075355,7.000857177974426e-15,6.006344990155566e-15,8.05101979661013e-15,0.3144570657594129,0.3029994464117529,0.3029965292702152,0.3238215452469092,0.3238244623884468,0.3238244623884468,0.33,0.33,0.32105968470406016
84,275,10.0,"[1.06949304e+01 8.54899095e+00 1.15345370e+01 9.79684570e+00
 6.18267378e+00 1.62155247e+01 7.02968677e-13 6.00300583e-13
 8.08180694e-13]","[0.31461506 0.30326973 0.29991651 0.32388435 0.32388724 0.32388724
 0.33       0.33       0.31125222]",0.0005867492461901487,10.69493035211788,8.548990953702063,11.534537037091438,9.79684569955564,6.182673783311527,16.215524725058604,7.029686772971167e-13,6.003005834294936e-13,8.081806937566495e-13,0.31461506370904163,0.3032697287810001,0.2999165079888545,0.3238843508386818,0.3238872383267205,0.3238872383267205,0.33,0.33,0.3112522179114815
85,275,10.5,"[1.06916102e+01 8.64760024e+00 1.15383339e+01 9.77999294e+00
 6.21398197e+00 1.62313493e+01 7.10642306e-13 6.06872830e-13
 8.17057879e-13]","[0.31461507 0.30326964 0.29991642 0.32388435 0.32388724 0.32388724
 0.33       0.33       0.31125222]",0.0005052562953303974,10.691610206493372,8.647600235170897,11.538333903784808,9.779992942002854,6.213981973656139,16.23134926762519,7.106423064872278e-13,6.068728302075814e-13,8.17057879017332e-13,0.31461506809544093,0.303269642315766,0.29991642247965716,0.32388435258231457,0.32388724006953,0.32388724006953,0.33,0.33,0.31125222325666174
86,275,11.0,"[1.06918251e+01 8.64916890e+00 1.15404553e+01 9.78204504e+00
 6.21892315e+00 1.62564086e+01 8.05632322e-13 6.88198333e-13
 9.26929811e-13]","[0.31461507 0.30326962 0.2999164  0.32388435 0.32388724 0.32388724
 0.33       0.33       0.32125222]",0.00042376334447064625,10.691825148622232,8.649168900671825,11.540455265870808,9.782045044420501,6.218923148059232,16.256408619289154,8.056323221453857e-13,6.881983331410799e-13,9.269298113543145e-13,0.3146150693550769,0.30326961748567,0.29991639792410485,0.32388435308303104,0.3238872405700101,0.3238872405700101,0.33,0.33,0.3212522239728829
